mi_p050 mf_p050 mi_p025 mf_p025 mi_z000 mf_z000 mi_m025 mf_m025 mi_m050 mf_m050 mi_m075 mf_m075 mi_m100 mf_m100 mi_m125 mf_m125 mi_m150 mf_m150 mi_m175 mf_m175 mi_m200 mf_m200 mi_m250 mf_m250 mi_m300 mf_m300 mi_m350 mf_m350 mi_m400 mf_m400
0.8 0.5191 0.7 0.5109 0.7 0.5146 0.7 0.5187 0.7 0.5223 0.7 0.5231 0.7 0.525 0.7 0.5264 0.7 0.5249 0.7 0.5265 0.7 0.5269 2.2 0.6996 2.3 0.7182 1.4 0.5477 1.0 0.522
0.9 0.5298 0.8 0.5201 0.8 0.5233 0.8 0.529 0.8 0.5328 0.8 0.5355 0.8 0.5381 0.8 0.5415 0.8 0.5395 0.8 0.538 0.9 0.5521 2.3 0.7177 2.4 0.7355 1.6 0.5932 1.3 0.5311
1.1 0.5446 0.9 0.5292 0.9 0.5327 0.9 0.5364 0.9 0.5385 0.9 0.5416 0.9 0.547 0.9 0.551 0.9 0.5522 0.9 0.55 1.0 0.5522 2.4 0.7325 2.5 0.9095 2.0 0.671 1.5 0.5763
1.2 0.5483 1.0 0.5359 1.0 0.5398 1.0 0.5442 1.0 0.5478 1.0 0.5527 1.0 0.557 1.0 0.5451 1.0 0.5621 1.0 0.5526 1.1 0.5703 2.5 0.9163 2.6 0.7674 3.0 0.8144 1.6 0.5811
1.3 0.5532 1.1 0.5414 1.1 0.5459 1.1 0.5491 1.1 0.5538 1.1 0.5582 1.1 0.5629 1.1 0.5647 1.1 0.5714 1.1 0.5668 1.2 0.575 2.6 0.7739 2.7 0.7809 3.2 0.8382 1.8 0.6356
1.4 0.5575 1.2 0.5464 1.2 0.5505 1.2 0.5552 1.2 0.5606 1.2 0.5655 1.2 0.5702 1.2 0.5751 1.2 0.5807 1.2 0.5784 1.3 0.5761 2.8 0.8007 2.8 0.9737 3.6 0.8763 2.0 0.6766
1.5 0.5622 1.3 0.5502 1.3 0.5558 1.3 0.5611 1.3 0.5672 1.3 0.5722 1.3 0.5758 1.3 0.5827 1.3 0.5854 1.3 0.5851 1.4 0.5938 3.0 1.0242 3.0 0.8214 3.8 0.894 2.1 0.7026
1.6 0.5653 1.4 0.5567 1.4 0.5616 1.4 0.567 1.4 0.5725 1.4 0.5787 1.4 0.5848 1.4 0.5897 1.4 0.594 1.4 0.5945 1.5 0.6025 3.2 0.8542 3.2 0.8422 4.0 0.9116 2.6 0.7796
1.7 0.5697 1.5 0.5626 1.5 0.5667 1.5 0.5727 1.5 0.5783 1.5 0.5847 1.5 0.5913 1.5 0.5974 1.5 0.6019 1.5 0.6029 1.6 0.6126 3.4 0.8713 3.4 0.8655 4.2 1.1147 2.7 0.7902
1.8 0.5728 1.6 0.5672 1.6 0.5723 1.6 0.5784 1.6 0.584 1.6 0.589 1.6 0.598 1.6 0.6042 1.6 0.6133 1.6 0.6164 2.0 0.6569 3.6 0.8879 3.6 0.8795 4.4 0.9262 3.4 0.8557
